Hash,en,vi,char
story.Global.prologue_ending_k7.text.70090abb90491ec03c80856de5f7d41470fb1e41,(What's on your mind?),"(Bọn mày nghĩ sao, làm gì đây?)",Juli
story.Global.prologue_ending_k7.text.0c97c13d16a5f3e38294ef6e2b1fc8196e18ba85,(I don't know…),(Không biết nữa…),Kaya
story.Global.prologue_ending_k7.text.884f7ac1174030ede1347d792260f5342765472f,(Do you think Kat likes to sing?),(Con Kat không biết có thích hát karaoke không?),Saki
story.Global.prologue_ending_k7.text.91fbe4ea81fd3d03a8efdb9d972054a6e43175d7,(Hmmm…),(Hừmmm…),Juli
story.Global.prologue_ending_k7.text.afc2c43d835d6d238d10a8a9ef286bf73e23c624,"(Good idea, Saki!)",(Đi hát karaoke được đó Saki!),Kaya
story.Global.prologue_ending_k7.text.922a788ffc9d0e6de4257c07aaabdbe39aa05249,"(Haven't seen you this excited about karaoke before, Kaya…)",(Hăm hở đi karaoke thế này lần đầu thấy đó Kaya…),Juli
story.Global.prologue_ending_k7.text.afb42674fbfa842e149878bc03f27d023121f3a7,"(That's a yes, then?)",(Vậy là đi hát được đúng không?),Saki
story.Global.prologue_ending_k7.text.ab7d36f2f9a7a7c2fbbed88e12147b8f0eee4b16,(Alright.),(Ờ.),Juli
story.Global.prologue_ending_k7.text.c7572d80c587c5afc9d310549d578e2df0ee0d71,So…,Ê…,Saki
story.Global.prologue_ending_k7.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat
story.Global.prologue_ending_k7.text.feb6c3a737798b01159cc78037f9ff846933372f,We were thinking of going to this place…,Bọn tao định tới chỗ này nè mà…,Saki
story.Global.prologue_ending_k7.text.12775f7f3ee5ad0ca46f8240a8f2fdc54df04c80,(I can't do this! She's ignoring me!),(Tao nói không được! Nó lơ tao luôn!),Saki
story.Global.prologue_ending_k7.text.a6994f91e52e1cc39934cd111c242a0b2cd789e3,Kat!,Kat!,Juli
story.Global.prologue_ending_k7.text.e777cea75af6ed97e936e9232e0161af3deec82e,Hmm?,Hửmm?,Kat
story.Global.prologue_ending_k7.text.470ed3ac582c3f926ff995b637c8bc241dffe029,Come with us.,Đi hát cùng bọn tao.,Juli
story.Global.prologue_ending_k7.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,Hở?,Kat
story.Global.prologue_ending_k7.text.0dfd56e8980ca5af124dfd0f239edf245e345ceb,Just come.,Cứ đi đi.,Juli
story.Global.prologue_ending_k7.text.b9eb95fd69a10e7e704eea3ec036707e94f75521,"Sure, whatever.","Ừ thì đi, thế nào cũng được.",Kat
story.Global.prologue_ending_k7.text.513b2c5b6fe87d3e8d7d1057569c029897216eb1,(You're so good!),(Được quá mày ơi!),Saki
story.Global.prologue_ending_k7.text.39060fa865f06ea4f250f71a23d2f6445b4534db,(Are they trying… to cheer me up…?),(Bọn nó… đang muốn động viên mình hay sao…?),Kat
story.Global.prologue_ending_k7.text.95741f01ba97bd1346a0081f0d435d592539f3b3,(Maybe… things are better this way.),(Có khi… cứ thế này là tốt hơn rồi.),Kat
story.Global.prologue_ending_k7.text.33e594b2f4dbc10ffc99749b3fae1c0c0204d7f4,"(I need to believe that much, at least.)",(Ít ra cũng phải tin là thế.),Kat
story.Global.prologue_ending_k7.text.2863dac37c7151d249f68af6ee435665b58f7361,Dead End K7 - Girls' Night Out,Kết Đứt K7 – Đám Nữ Chơi Đêm,
,,,
story.Global.prologue_ending_k8.text.aadb3c228ce36e4bd6a5b91c1b9af0295c221ed1,I didn't hear from the voice again.,Sau đó không nghe thấy giọng ấy nữa.,
story.Global.prologue_ending_k8.text.011cf5f485dda252a5db605095168574100eec84,"But, no matter how much I wanted to, I didn't scream for help.","Nhưng cho dù có muốn khóc thét khôn cùng, tôi không hề gào lên kêu cứu.",
story.Global.prologue_ending_k8.text.a85defd134c6ca4337254087d04c2d2177af347a,Someone will come for me… eventually.,Kiểu gì cũng… có ai đó đến cứu thôi mà.,
story.Global.prologue_ending_k8.text.1215744cbb42a3f53737c44a88eac5aed283de43,I just know it.,Tôi cứ biết là thế.,
story.Global.prologue_ending_k8.text.2fd2dad3266f20c1f944788ddc4f880332d8b52b,Dead End K8 - My Way,Kết Đứt K8 – Đường Ta Ta Đi,
,,,
story.Global.prologue_event_attempted_exit_girls.text.2d1147175f6d5d127925dd07225512b2f8b07e0d,We're… back here?,Quay lại đây… sao?,Juli
story.Global.prologue_event_attempted_exit_girls.text.c81fe5e920aca4e4d853deb47f4e771e37dce1f6,"Maybe this is the school's way of saying ""You can't leave now.""","Có khi là trường đang bảo ""Không ra được đâu"" chăng.",Kat
story.Global.prologue_event_attempted_exit_girls.text.00ae205e25c912628e5a4f8cb5c410e415536ba4,How can you just say something like that?,Sao lại nói điều như thế chứ?,Saki
story.Global.prologue_event_attempted_exit_girls.text.37f0039c54a1e51837084fcf9e29b6f3481de199,Are we going home soon…?,Sắp được về nhà chưa thế…?,Kaya
,,,
story.Global.prologue_event_sit_with_girls.text.28180a9bb790b972e3fbe0f59c1d6d904c052c9d,What are you doing? I thought you were busy.,Làm gì đó? Tưởng mày bận cơ mà.,Juli
story.Global.prologue_event_sit_with_girls.text.6bcbb02d937ec25095efec431109deaf9da90b8e,I'm just taking a break.,Ngồi nghỉ xíu thôi.,Kat
story.Global.prologue_event_sit_with_girls.text.70e168b5ef8eb7401ba86e482f21ceab6c4b2121,Is that so…,Là thế kia à…,Juli
story.Global.prologue_event_sit_with_girls.text.b7984130377205db885aa7383d60c46edb4d4684,"Are you scared? You're scared, aren't you?",Mày sợ hả? Sợ rồi đúng không?,Saki
story.Global.prologue_event_sit_with_girls.text.934fe08714d06b52c3b05d52c68f96f7ece24d0e,Did you come to us for comfort?,Nên mới tới ngồi để bọn tao dỗ chứ gì?,Saki
story.Global.prologue_event_sit_with_girls.text.d61ba31e4f266bf4129a55bd68aab8388f577e5d,The only scary thing here is that attitude of yours.,Cái đáng sợ ở đây là thái độ của mày thì có.,Kat
story.Global.prologue_event_sit_with_girls.text.0d8a0a7b871631e9389919f8b8058d760daa49f7,"She's still upset at you messing up our night, as you can see.","Thấy đó, con Saki nó vẫn đang bực mày phá đám đó mà.",Juli
story.Global.prologue_event_sit_with_girls.text.4c77c6bc11442bb3368aeace77d96ce4ff347d98,It's okay to be scared…,Sợ là bình thường mà có sao đâu…,Kaya
story.Global.prologue_event_sit_with_girls.text.d7e50e5d4bcde63c91096535519913a17af4470b,"Oh, I know! Why don't you show us your ritual as an apology?","À đúng rồi! Mày cho bọn tao xem cái nghi thức hay cái gì đó đi, coi như tạ lỗi!",Saki
story.Global.prologue_event_sit_with_girls.text.033b205074155231d5e3dfae0b781e967157882d,"I'm kind of interested, too.",Tao cũng khá có hứng đó.,Kaya
story.Global.prologue_event_sit_with_girls.text.c3e9d2ea53efa91a565e62bdb6a96974f85914ff,"Well, the rules say…","Nhưng mà, theo luật thì…",Kat
story.Global.prologue_event_sit_with_girls.text.49cbcaaefe9016eddbceee5b087374bdfaf41fd7,"Oh come on, you don't ACTUALLY think it's gonna work, do you? It's just a game, as you said.","Cái gì đó, mày cũng đâu có thực sự nghĩ ba cái trò đó sẽ thành công đâu đúng không? Như mày nói là trò chơi thôi mà gì đâu.",Saki
story.Global.prologue_event_sit_with_girls.text.6cdcae6600a2e2c8c28356bb5b80f487b77e2c02,The rules don't actually matter.,"Thành thử, kệ bà ba cái luật gì đó đi.",Saki
story.Global.prologue_event_sit_with_girls.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat
story.Global.prologue_event_sit_with_girls.text.cc523523e6c9525733e32983eafcc406747a4d89,I suppose not.,Thế cũng đúng.,Kat
story.Global.prologue_event_sit_with_girls.text.a183bf089d90c341b4636dd8bc976b71f03c60b3,"Then it's decided, we will tag along with you.","Vậy là quyết định nhé, bọn tao đi theo mày.",Juli
story.Global.prologue_event_sit_with_girls.text.7e044b515cf648e1fe0f1de4aab42fa7e0914aa1,You're tasked with entertaining us now.,Cố gắng hết mình cho bọn tao vui nha.,Juli
story.Global.prologue_event_sit_with_girls.text.1477c7c6da8527cfd566cd2f5a868015bb88870b,"Well, I suppose it can't be helped.","Chà, đành vậy thôi chứ sao.",Kat
story.Global.prologue_event_sit_with_girls.text.3fca5477fa872a76a953cd6fde6bb02a5f073ce5,"Let's go, then.",Ta đi thôi.,Kat
,,,
story.Global.prologue_hod_event_wake_up.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,
story.Global.prologue_hod_event_wake_up.text.5c63ff31864c31803e6e16cbd7f2e8361ab99123,I'm back in this hallway…,Về lại hành lang này rồi…,
story.Global.prologue_hod_event_wake_up.text.91e6bee0edce6c84e46fa755976033f816630631,I don't like this… I need to get out of here…,Ớn lắm rồi… phải ra khỏi đây mau…,
,,,
story.Global.prologue_intro.text.0bc3d9ff4c4f11e9b23a9496d3872d9e4569a420,Whoa… weird dream.,Oaa… giấc mơ kì lạ ta.,
story.Global.prologue_intro.text.fa92faa7deab6c7fda5948018c93ae668070a383,Everyone must be gone already.,Hẳn mấy đứa về hết rồi.,
story.Global.prologue_intro.text.eac7803e0fe7212ecc9c1ce985463158f2fd25d4,Looks like it's eleven… I should get to it.,Chắc 11 giờ rồi… phải bắt đầu thôi.,
,,,
story.Global.prologue_intro.text.ff8858e2985a1e188a13f20e82be444f317f89bb,Ohhhh no…,Úi trời…,Saki
story.Global.prologue_intro.text.82962c4c07eeb65c033eff6ab4194d228f511041,You moved it!!,Rõ mày mới di!!,Juli
story.Global.prologue_intro.text.f503fc6417fae70b61afcffef79c68cfc375aecd,"I didn't, I swear! You know I hate this type of thing!",Đâu có! Biết tao ghét cái kiểu vậy mà!,Saki
story.Global.prologue_intro.text.0145067f3eae6a3eddce036f9657f3ccacdd3529,This can't possibly be happening…,Làm sao mà lại thế…,Kaya
story.Global.prologue_intro.text.12f9e12bdc21ab8e11efc52ea66050debc4933d5,"It spelled ""DIE""!!-","Nó di ra chữ ""DIE"" nè!!",Saki
story.Global.prologue_intro.text.7d582383882a626491b5d5b534ad2a61aca7b1da,Oh my… Oh no…,Trời ơi… thế này…,Kaya
story.Global.prologue_intro.text.260a45ef6d7560e50ab6382c1c847907bab27850,Stop joking around!! This is serious!!,Đừng có giỡn nữa! Nghiêm túc này!!,Juli
story.Global.prologue_intro.text.196d679ed61d1f2f724d592d5ab9ea23c3c01719,…Aah…. we should not have played this…,…Aaa… giá mà đừng chơi trò này…,Kaya
story.Global.prologue_intro.text.bcaf537fae31809e1d3d434d5bdd4c0084e07205,I TOLD you we're going to be cursed!!,Tao BẢO là sẽ bị nguyền rồi đấy!!,Saki
story.Global.prologue_intro.text.6840f9fa6ac8d3e6fa0f7232d25f8c262c8b892a,WHAT WAS THAT!?,VỪA MỚI CÁI GÌ ĐÓ!?,Juli
story.Global.prologue_intro.text.3e0d566749651ab7f431f088e56cb5657ec35c45,Is that a ghost?? We summoned a ghost!,Ma à?? Mấy đứa mình gọi ma lên mất rồi!!,Saki
story.Global.prologue_intro.text.7e141bf4743504e9a7b95faa99aa0ca9b0f82998,oh my god oh my god oh my god oh my god-,ôi trời ơi trời ơi trời ơi trời ơi-,Kaya
story.Global.prologue_intro.text.913cd79aaf0435f0844f8473d4c420bea559abfd,YOU'RE MAKING TOO MUCH NOISE,TỤI BÂY ỒN ÀO QUÁ DỊ,Kat
story.Global.prologue_intro.text.db6cef864b3d572fa09f1f16d9fe3d1750bcaf11,Oh…It's just Kat…,Ờ… là con Kat mà…,Juli
story.Global.prologue_intro.text.7d155891c06b39cbad00bf11228e17ec3e39b82d,What's with the crazy knocking? What was that for!?,Mắc gì gõ cửa ầm ầm thế? Gõ thế làm cái gì hả?,Saki
story.Global.prologue_intro.text.631761053645640a7e6336307c8d79e9876476ba,"Did that spook you? You're not supposed to be here, you know?",Bị dọa sợ à? Mà bọn mày vốn dĩ đâu có được la cà ở đây đâu?,Kat
story.Global.prologue_intro.text.1a209a7387ffe4214154b62b2c8d197d53b09ba0,I could say the same about you. Why are YOU here?,Mày cũng vậy đó thôi. La cà ở đây làm cái gì?,Juli
story.Global.prologue_intro.text.672c013f03867ba4fef295d30016d6195cf6ed59,Actually…,À thì…,Kat
story.Global.prologue_intro.text.393a429647ab6869a1f6377961299ef784f0e34d,Say hello to the new member of the occult club!,Bởi vì tao đây mới được vào làm thành viên của câu lạc bộ huyền bí đó!,Kat
story.Global.prologue_intro.text.316c0dc7474eae225044af0abd2242d69f585e68,I had the wonderful opportunity to meet all of the members yesterday.,"Hôm qua còn được dịp vinh dự gặp gỡ toàn bộ thành viên rồi, thế mà,",Kat
story.Global.prologue_intro.text.57892c2b8d5f5ed4214c1f22bce2b4d269d42326,I don't recall seeing you there.,chả nhớ khi đó đã gặp bọn mày chưa.,Kat
story.Global.prologue_intro.text.fb1bda57693260e83b1bb49bfc7d834b33a9bbca,"You three are not part of the club, are you?",Bọn mày đâu phải thành viên câu lạc bộ huyền bí đâu nhỉ?,Kat
story.Global.prologue_intro.text.584a67cd75a0f36ffa9fcecb8f18cbd946b0e21f,"That's funny. I didn't pin you of all people as the ""occult"" type, Kat.","Buồn cười ghê. Cỡ mày mà chơi hệ ""huyền bí"" cái nỗi gì hả Kat.",Saki
story.Global.prologue_intro.text.0c5b1b3b8e498a13766867dbdb19f32a2badc58b,That's because I'm not.,"Đương nhiên, bởi vì tao đâu có chơi cái hệ đó.",Kat
story.Global.prologue_intro.text.a5b9f6c8ce50e9561367f6a4c326854ce64c51fd,H-Hey!! We were doing something here!,Ơ kìa!! Bọn tao còn đang làm mà!,Juli
story.Global.prologue_intro.text.e98f99a61215079797f890ec47fa3b06f914061b,I'll save you the trouble. All three of you moved it.,Để tao lý giải hộ cho. Cái đó nó là do ba đứa chúng mày di chuyển thôi.,Kat
story.Global.prologue_intro.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,Ơ?,Kaya
story.Global.prologue_intro.text.a036d2b13bc23a212e85c186a37255420eb1f199,The planchette. From your game. You all moved it. There's no ghost in the room.,Cái con cơ ấy. Trong trò bọn mày chơi. Do bọn mày di chuyển cả. Ma í làm gì có.,Kat
story.Global.prologue_intro.text.e64aa7f1c54c33fef61fd23ed74f0c3fb31ea8b3,There's a simple scientific explanation: it's called the ideomotor effect.,"Có thể giải thích đơn giản và mang tính khoa học đó là ""Hiệu ứng vận động vô thức"".",Kat
story.Global.prologue_intro.text.3c4b596ea6fba2d0a112ceed9808a9bb6a3ed1a9,"Simply put, just like your body reacts to pain reflexively, it may also react to ideas and move on its own. It Juli much bypasses the part of the brain which we use for conscious behavior.","Nói gọn thì, giống như phản ứng một cách có phản xạ với đau đớn, cơ thể người còn phản ứng với suy nghĩ và tự nó cử động nữa đó. Tín hiệu nó bỏ qua hẳn cái phần trong não mà ta dùng cho hành vi có ý thức.",Kat
story.Global.prologue_intro.text.6c048a9f444077d649441fd46998d58edcd58430,It's not all that different from blinking or breathing. The effect is even stronger when a bunch of gullible people who are desperate to believe in ghost stories get together and play.,Nó hao hao như chớp mắt hay hít thở vậy. Khi một đám người khờ khạo cứ một mực tin vào chuyện ma mà tụ họp lại chơi thì hiệu ứng nó còn phát huy nữa.,Kat
story.Global.prologue_intro.text.63477c861ae7c4635610e8572b0c4e084cd5026c,"There was an experiment where the players were blindfolded and suddenly the ""ghosts"" could no longer spell messages. You can try it if you don't believe me.","Có cái thí nghiệm mà người tham gia phải bịt mắt, bỗng nhiên ""ma"" không còn truyền được thông điệp nào nữa. Nếu không tin cứ làm thử mà xem.",Kat
story.Global.prologue_intro.text.fb7d32b7bb5845a59bacbbc419e20797fd9d169d,"In other words, your mysterious answers from beyond… are really just your imagination playing tricks on you.","Nói cách khác, ""lời đáp bí ẩn từ bên kia"" bọn mày nhận được… thực ra chỉ là do trí tưởng tượng bọn mày bày ra mà thôi.",Kat
story.Global.prologue_intro.text.fa0f99df1c933709cd4f05afbead12f19f720293,Great job killing the mood.,Cám ơn vì phá hỏng bầu không khí giùm nhá.,Saki
story.Global.prologue_intro.text.3db63af8ea38af8d0a991e4ecf78da74b488dd07,You must be fun at parties.,Hiền tài trong bang hội đây chứ đâu.,Juli
story.Global.prologue_intro.text.65d3732f30aebe84f9351d112efc26e8712d6b49,"Thanks a lot, Kat.",Chân thành cảm ơn nha Kat.,Kaya
story.Global.prologue_intro.text.b287b859a8aaa56debbd10fa05d61898fa219549,Always a pleasure.,Không có chi.,Kat
,,,
story.Global.prologue_intro.text.6ca84bce4dc018a9e83e4d85077b34e91de6f4b7,"(Alright, time to search.)","(Nào, đi tìm nguyên liệu thôi)",Kat
story.Global.prologue_intro.text.95db6927fbe525dacf5c5ea81a6f0ee76a6774a1,(I should go over my notes to make sure I don't forget anything.),"(Để không bị sót, ta hãy xác nhận ghi chú phát)",Kat
,,,
story.Global.prologue_item_chalk_get.text.7fcfeb525c5daf1677c919384a00c06fe775e4d7,I already have enough chalk but… the more the merrier!,Mình đã có đủ phấn rồi nhưng… lấy nhiều cho nó vui!,Kat
story.Global.prologue_item_chalk_get.text.59a38df9efa8b663acdc42eed3b4b771b1058a83,What kind of ritual is this…?,Rốt cuộc thế này thì nghi thức kiểu gì ta…?,Juli
story.Global.prologue_item_chalk_get.text.91880d269b7c303f2492f5768525adb2cff8f5a3,Do I really need all of this chalk…?,Có cần phấn đến nhường này không nhỉ…?,Kat
,,,
story.Global.prologue_item_curtains_on_wrong_window.text.fb2d41d9de9ffb9d4f4d9b210f62b288a52a7d3b,This window already has curtains.,Cửa sổ này đã mắc rèm rồi.,
,,,
story.Global.prologue_item_lighter_on_plant.text.ba57dc5b65436266ce63060ed298e9e28bd1f98d,The thought of its burning beauty charms you.,Tưởng tượng cái vẻ đẹp khi cây bị cháy mà thấy quyến rũ ghê.,
story.Global.prologue_item_lighter_on_plant.text.13e7c99c448e036b88626da6d4785e0b2d0a510c,"I really shouldn't, though.",Mà thôi không nên làm vậy.,
,,,
story.Global.prologue_item_notebook.text.452d0e455e1fd507821ab387ea105db875bbc7c7,It looks like a private journal.,Có vẻ là nhật ký.,
,,,
story.Global.prologue_item_notebook.text.d5adb19ac37e74fc0812089aeb873e8678f109fc,This looks like that girl's private journal.,Hình như là nhật ký của cái con đó nè.,
,,,
story.Global.prologue_item_notebook.choice.text.b12c232a4005e91d394de9ab6965418fee437693,Look through it?,Lật ra xem chứ?,
story.Global.prologue_item_notebook.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Xem,
story.Global.prologue_item_notebook.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,
,,,
story.Global.prologue_item_notebook.text.4d37edb20a5abcce6c703bf72d5cf3dedad92e67,Let's see…,Coi nào coi nào…,
story.Global.prologue_item_notebook.text.3d4cfe9ae07971ebe34744c2f96e9f733f674254,"Blegh, it's just math problems… and girly doodles all over.","Ựa, toàn là bài tập toán… với vẽ bậy kiểu mấy đứa con gái thôi à.",
story.Global.prologue_item_notebook.text.71ca50e7baa83505f6b5e6492bb07129818e24fb,This isn't worth my time.,Chẳng bõ thời gian tí nào.,
,,,
story.Global.prologue_item_notebook.text.d4bb8c0668eed38119a5c8b6381fd6ce87d00f8b,A math notebook. Nothing worth looking through.,Là vở môn toán. Chả đáng lướt qua.,
,,,
story.Global.prologue_item_notes.text.aa75d6edf5104c9b684055c37aaec4d4c51fe085,"(Alright, so I need to search the school for the items first.)","(Được rồi, trước tiên loanh quanh phòng học thu thập nguyên liệu nào.)",
story.Global.prologue_item_notes.text.f529f7413af21949f3f26140290a1e3e0ec54b38,(The rune should be in this room…),(Cái rune hẳn có trong phòng này…),
story.Global.prologue_item_notes.text.a96b5fccf3cb71a42313671f2fef090aeed565b5,(…somewhere.),(…hay đâu đó không biết nữa.),
,,,
story.Global.prologue_item_scissors.text.80f0585437b706612010d41fb9af91e109df19fb,"Well, I need a tuft of hair for the ritual…","Hừm, cần một nhúm tóc cho nghi thức cơ…",
,,,
story.Global.prologue_item_scissors.choice.text.9c0922cd047c8dd932079bbca22928ce7012d9e7,Should I cut my own hair?,Cắt tóc bản thân chăng?,
story.Global.prologue_item_scissors.choice.8d1d83f3fe67710a3aaa4042c5dd4bdf7157a98c,I guess…,Đành vậy…,
story.Global.prologue_item_scissors.choice.2d5f5b0553b68392fe5836efa5e0f9f90f568416,Forget it,Không đâu,
,,,
story.Global.prologue_item_scissors.text.a02d057a764ee283c5f00e69709935565643195a,Sigh…,Hầy…,Kat
story.Global.prologue_item_scissors.text.b6ec1c5bd6f96b16a291a513b560b1983297a61d,"Here I go, I suppose…",Chắc là cắt vậy…,Kat
story.Global.prologue_item_scissors.text.6ebeaa4751257aa77168c77473d8692a0199152d,I never want to do that again.,Mình không muốn làm thế lần nào nữa đâu.,Kat
story.Global.prologue_item_scissors.text.78513c428da3e82b3d9c0e31eaa6102d16f7c005,"You're so brave, Kat.",Can đảm quá Kat ơi.,Kaya
,,,
story.Global.prologue_item_scissors.text.3ff88283e120b72b59210fe456db1fc6a4c74fdb,Of course not.,Làm gì có chuyện cắt.,Kat
,,,
story.Global.prologue_item_scissors.text.32646a8dbfe784832b3847f9b024f87205853d07,I already have enough hair.,Có đủ tóc rồi.,Kat
,,,
story.Global.prologue_item_scissors.text.79e6a54246ee62a14f305087f065be2ea7a2b604,(Nah.),(Không đâu.),Kat
story.Global.prologue_item_scissors.text.e0d56e99f7f18c0f7f197515332e77d24b1068e9,Um… any takers?,Ờ… đứa nào tình nguyện không?,Kat
story.Global.prologue_item_scissors.text.2ef875b9bf67843ac034ca44671c7357f60255b4,What do you need?,Cần gì thế?,Juli
story.Global.prologue_item_scissors.text.d4c6c3f8b8516e6a743b615a77e03bc80be2ddbc,Just a bit of hair.,Một nhúm tóc thôi.,Kat
story.Global.prologue_item_scissors.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Juli/Saki
story.Global.prologue_item_scissors.text.e30f3c86e1e54871aa0c80885c778267a1aca22f,Why don't you cut your own?,Sao không tự cắt đi?,Saki
story.Global.prologue_item_scissors.text.b1e1fd09c18df25d856d59b0e362e11e80ed68fc,I thought you girls wanted to participate…?,Tưởng bọn mày muốn tham gia vào nghi thức chớ…?,Kat
story.Global.prologue_item_scissors.text.5c377cf4c3299f9f518367c13d3863d0ab1b545a,I don't mind helping…,Tao thì được thôi…,Kaya
story.Global.prologue_item_scissors.text.6b8efc2754ea972eea1dcb93b3fca3738da20471,"No Kaya, you don't have to do that.","Đừng đừng Kaya, mày không cần cắt đâu.",Juli
story.Global.prologue_item_scissors.text.fa7f93dd464072501445b80148b6d229f773d94c,"It's alright, I'll give you mine.","Hiểu rồi, để tao cắt cho mày.",Juli
story.Global.prologue_item_scissors.text.82ba6b6db8766abe5f278ec33f1f6d3cf2719ca3,…!,…!,Saki
story.Global.prologue_item_scissors.text.5ecb60ad93beec9f6d69bbf790ed1d33b9749cdc,There's no need for that. I'll just cut some of mine.,Mày không cần làm. Tao cắt cho.,Saki
story.Global.prologue_item_scissors.text.410bf23a3f080def9c7a976a16305bcde7943ed1,Are you sure?,Chắc rồi chứ?,Juli
story.Global.prologue_item_scissors.text.ec464bdb4829dcbd6f74720473f19a797656aea5,"Yeah, it would be a waste to use yours.","Ờ, xài tóc của Juli thì phí lắm.",Saki
story.Global.prologue_item_scissors.text.17187cd84374b97703ac5802bc0c9ea23b8311a4,Alright.,Ừ được rồi.,Juli
,,,
story.Global.prologue_item_scissors.rename.item.desc.b924a78017636f3735c09c529b33c86aeacaa900,A tuft of hair from Saki. She gave it to me voluntarily.,Nhúm tóc của Saki. Nó tình nguyện cho mình.,
,,,
story.Global.prologue_item_scissors.text.1da20795f84bb9c5e16697aea34f14720e38fc37,Thanks!,Cảm ơn nha!,Kat
story.Global.prologue_item_scissors.text.35eb9e717891b07fff1a471c25fa342413fc864e,Uuugh…,Ư hư hư…,Saki
,,,
story.Global.prologue_unlock_extra_room.text.fd69fc482977a9f7aee2cc389fdb6172df339e82,It's so dark…,Tối thui à…,Kaya
story.Global.prologue_unlock_extra_room.text.e9a66c9adb3c4ff81064de30207c4eeb1e9029fd,Let's see what's behind this door.,Hãy xem cái gì đằng này cánh cửa đi nào.,Kat
story.Global.prologue_unlock_extra_room.text.becb9893fa83fdafc979a198cb7f898809f30294,Maybe we'll find exam answers!,Không chừng là đề thi chăng?,Saki
story.Global.prologue_unlock_extra_room.text.2547c30e4bc8144ed37b99051b2836bfc5d9ede1,Or dead bodies!,Hay là xác chết chăng!,Kaya
story.Global.prologue_unlock_extra_room.text.14813cc09f979c94bf360c77d29a79f295111cab,Or… maybe it's just a supply closet.,Hoặc… chỉ là kho chứa đồ thôi chăng.,Juli
story.Global.prologue_unlock_extra_room.text.3b81e6f71341dc61374695996b441fa43ba7a530,Heh.,Hứ hứ.,Kat
